CourseCode,ClassCode,Day,StartTime,EndTime,Location
CSSE3010,APP1-01,TUE,15:00,16:00,46-441/442/443
CSSE3010,PRA1-01,WED,12:00,15:00,47-104
CSSE3010,PRA1-02,WED,15:00,18:00,47-104
CSSE3010,PRA1-03,THU,12:00,15:00,47-104
CSSE3010,PRA1-04,THU,15:00,18:00,47-104
ELEC3004,PRA1-01,THU,14:00,16:00,47-401
ELEC3004,PRA1-02,THU,18:00,20:00,47-401
ELEC3004,PRA1-03,WED,18:00,20:00,47-401
ELEC3004,PRA1-04,WED,8:00,10:00,47-401
ELEC3004,PRA1-05,WED,16:00,18:00,47-401
ELEC3004,PRA1-06,FRI,16:00,18:00,47-401
ELEC3004,PRA1-07,WED,10:00,12:00,47-401
ELEC3004,PRA1-08,TUE,14:00,16:00,47-401
ELEC3004,PRA1-09,TUE,16:00,18:00,47-401
ELEC3004,PRA1-10,TUE,9:00,11:00,47-401
ELEC3004,PRA1-11,FRI,14:00,16:00,47-401
ELEC3004,PRA1-12,THU,16:00,18:00,47-401
ELEC2400,APP1-01,WED,14:00,15:00,46-230
ELEC2400,APP1-02,FRI,16:00,17:00,78-343
ELEC2400,APP1-03,FRI,17:00,18:00,46-230
ELEC2400,APP1-04,TUE,12:00,13:00,17-202
ELEC2400,APP1-05,WED,18:00,19:00,46-371
ELEC2400,APP1-06,FRI,17:00,18:00,46-343
ELEC2400,APP1-07,FRI,8:00,9:00,46-371
ELEC2400,APP1-08,WED,10:00,11:00,46-371
ELEC2400,APP1-09,FRI,10:00,11:00,46-230
ELEC2400,APP1-10,WED,15:00,16:00,46-230
ELEC2400,APP1-11,TUE,17:00,18:00,46-230
ELEC2400,APP1-12,THU,18:00,19:00,46-371
ENGG1300,PRA1-01-P1,MON,12:00,14:00,50-C207
ENGG1300,PRA1-01-P2,THU,8:00,10:00,50-C207
ENGG1300,PRA1-02-P1,WED,8:00,10:00,50-C207
ENGG1300,PRA1-02-P2,FRI,10:00,12:00,50-C207
ENGG1300,PRA1-03-P1,TUE,14:00,16:00,50-C207
ENGG1300,PRA1-03-P2,THU,16:00,18:00,50-C207
ENGG1300,PRA1-04-P1,WED,10:00,12:00,50-C207
ENGG1300,PRA1-04-P2,FRI,14:00,16:00,50-C207
ENGG1300,PRA1-05-P1,TUE,10:00,12:00,50-C207
ENGG1300,PRA1-05-P2,THU,14:00,16:00,50-C207
ENGG1300,PRA1-06-P1,MON,14:00,16:00,50-C207
ENGG1300,PRA1-06-P2,FRI,12:00,14:00,50-C207
ENGG1300,PRA1-07-P1,TUE,16:00,18:00,50-C207
ENGG1300,PRA1-07-P2,FRI,16:00,18:00,50-C207
ENGG1300,PRA1-08-P2,MON,18:00,20:00,50-C207
ENGG1300,PRA1-08-P2,WED,18:00,20:00,50-C207
ENGG1300,PRA1-09-P2,MON,16:00,18:00,50-C207
ENGG1300,PRA1-09-P2,FRI,8:00,10:00,50-C207
METR4201,APP1-01,WED,10:00,12:00,11A-110/111
METR4201,APP1-02,WED,8:00,10:00,11A-110/111
METR4201,APP1-03,FRI,14:00,16:00,11A-110/111
METR4201,CNS01-01,FRI,9:00,10:00,Online
METR4201,PRA1-01,WED,10:00,12:00,49-401
METR4201,PRA1-02,WED,10:00,12:00,49-401
METR4201,PRA1-03,FRI,14:00,16:00,49-401
METR4201,PRA1-04,FRI,14:00,16:00,49-401
METR4201,PRA1-05,FRI,12:00,14:00,49-401
METR4201,PRA1-06,FRI,12:00,14:00,49-401
METR4201,PRA1-07,THU,12:00,14:00,49-401
METR4201,PRA1-08,THU,12:00,14:00,49-401
METR4201,PRA1-09,WED,12:00,14:00,49-401
METR4201,PRA1-10,WED,12:00,14:00,49-401
METR4201,PRA1-11,MON,9:00,11:00,49-401
METR4201,PRA1-12,MON,9:00,11:00,49-401
METR4201,PRA1-13,WED,16:00,18:00,49-401
METR4201,PRA1-14,WED,16:00,18:00,49-401
METR4201,PRA1-15,THU,18:00,20:00,49-401
METR4201,PRA1-16,THU,18:00,20:00,49-401
ELEC3004,Meeting,MON,10:00,11:00,47-404
ENGG1300,Meeting,MON,8:00,9:00,Online
ENGG1300,Meeting,MON,9:00,10:00,Online
ENGG1300,Meeting,TUE,8:00,9:00,Online
ENGG1300,Meeting,TUE,13:00,14:00,Online
ENGG1300,Meeting,THU,11:00,12:00,Online
